id,e0,e1,e2,e3,e4,e5,e6,e8,e7,e9,cat3
TEST_01606,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01607,118,118,118,118,118,118,118,118,118,118,한식
TEST_01608,111,72,72,72,72,72,72,72,72,72,안보관광
TEST_01609,85,32,85,32,32,32,32,32,32,32,유적지/사적지
TEST_01610,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01611,118,118,118,118,118,118,118,118,118,118,한식
TEST_01612,118,118,118,118,118,118,118,118,118,118,한식
TEST_01613,118,118,118,118,118,118,118,118,118,118,한식
TEST_01614,32,85,85,85,85,85,32,85,85,85,유적지/사적지
TEST_01615,91,91,91,91,91,91,91,91,118,118,한식
TEST_01616,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01617,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01618,31,31,31,31,31,31,31,31,31,31,모텔
TEST_01619,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01620,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_01621,7,7,7,7,85,7,7,7,7,7,고택
TEST_01622,127,127,61,127,127,127,93,93,93,93,자연생태관광지
TEST_01623,118,118,118,118,118,118,118,118,118,118,한식
TEST_01624,54,54,54,0,0,0,0,0,0,0,상설시장
TEST_01625,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01626,118,118,118,118,118,118,118,118,118,118,한식
TEST_01627,86,86,86,35,86,86,35,86,86,86,문화전수시설
TEST_01628,118,118,118,118,118,118,118,118,118,118,한식
TEST_01629,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01630,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01631,84,93,84,5,3,3,3,3,3,3,강
TEST_01632,97,111,86,86,86,86,86,86,86,86,이색거리
TEST_01633,11,11,11,11,53,11,93,11,11,11,공원
TEST_01634,31,31,31,31,31,31,31,31,31,31,모텔
TEST_01635,118,118,118,118,118,118,118,118,118,118,한식
TEST_01636,10,10,10,35,10,10,10,10,10,10,"공예,공방"
TEST_01637,118,118,118,118,118,118,118,118,118,118,한식
TEST_01638,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01639,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01640,38,58,42,42,42,42,42,42,42,42,바다낚시
TEST_01641,11,11,11,11,11,93,11,11,11,11,공원
TEST_01642,82,82,82,82,82,82,82,82,82,82,유명건물
TEST_01643,118,118,118,118,118,118,118,118,118,118,한식
TEST_01644,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01645,118,118,118,118,118,118,118,118,118,118,한식
TEST_01646,34,34,34,34,34,34,34,34,34,34,문화원
TEST_01647,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01648,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01649,15,15,97,97,97,97,97,97,97,97,전시관
TEST_01650,118,118,118,118,118,118,118,118,118,118,한식
TEST_01651,118,118,118,118,118,118,118,118,118,118,한식
TEST_01652,82,82,82,125,125,82,125,125,125,125,호수
TEST_01653,90,90,90,90,19,19,105,19,105,19,컨벤션
TEST_01654,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01655,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_01656,5,3,5,3,3,3,3,3,3,3,강
TEST_01657,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01658,118,118,118,118,118,118,118,118,118,118,한식
TEST_01659,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01660,90,90,19,19,19,19,19,19,19,19,기타행사
TEST_01661,44,96,96,96,96,96,96,96,96,96,전문상가
TEST_01662,91,114,57,57,91,114,114,114,114,114,서양식
TEST_01663,80,80,80,80,80,80,80,80,80,80,윈드서핑/제트스키
TEST_01664,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01665,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_01666,11,11,11,11,11,11,11,11,11,11,공원
TEST_01667,90,90,90,90,90,90,90,90,19,90,일반축제
TEST_01668,91,91,91,91,91,91,91,91,91,91,일식
TEST_01669,90,90,90,90,90,90,44,90,90,90,일반축제
TEST_01670,58,58,58,58,58,58,58,58,58,58,섬
TEST_01671,118,118,118,118,118,118,118,118,118,118,한식
TEST_01672,0,0,0,0,0,0,0,0,0,0,5일장
TEST_01673,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01674,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01675,97,97,97,97,97,97,97,97,97,97,전시관
TEST_01676,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01677,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_01678,119,126,126,119,119,119,119,119,119,119,한옥스테이
TEST_01679,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01680,82,85,82,85,85,85,85,85,85,85,유적지/사적지
TEST_01681,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01682,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01683,86,86,86,86,86,86,86,86,86,86,특산물판매점
TEST_01684,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_01685,80,80,80,80,80,80,80,80,80,80,윈드서핑/제트스키
TEST_01686,21,21,21,21,21,21,21,21,21,21,다리/대교
TEST_01687,118,118,118,118,118,118,118,118,118,118,한식
TEST_01688,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01689,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01690,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01691,92,92,104,92,104,104,104,104,104,104,카트
TEST_01692,55,55,55,55,55,55,55,55,55,55,생가
TEST_01693,118,118,118,118,118,118,118,118,118,118,한식
TEST_01694,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01695,118,118,118,118,118,118,118,118,118,118,한식
TEST_01696,115,31,31,31,31,31,31,31,31,31,모텔
TEST_01697,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01698,112,112,112,112,112,112,112,112,112,112,트래킹
TEST_01699,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01700,118,118,118,118,118,118,118,118,118,118,한식
TEST_01701,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01702,97,97,97,97,97,97,97,97,97,97,전시관
TEST_01703,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01704,90,90,90,90,90,90,90,33,90,90,일반축제
TEST_01705,118,118,118,118,118,118,118,118,118,118,한식
TEST_01706,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_01707,17,17,17,17,17,17,17,17,17,17,기암괴석
TEST_01708,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01709,118,118,118,118,118,118,118,118,118,118,한식
TEST_01710,12,12,12,12,12,12,12,12,12,12,관광단지
TEST_01711,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01712,97,9,97,25,25,25,25,25,25,25,도서관
TEST_01713,118,118,118,118,118,118,118,118,118,118,한식
TEST_01714,37,41,37,37,37,41,37,37,41,41,미술관/화랑
TEST_01715,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01716,92,92,92,92,92,92,92,92,92,92,자동차경주
TEST_01717,60,60,60,63,60,60,63,63,63,60,수련시설
TEST_01718,90,90,90,19,19,19,19,19,105,19,기타행사
TEST_01719,3,3,3,125,3,3,3,3,3,3,강
TEST_01720,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01721,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01722,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01723,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01724,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01725,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01726,118,118,118,118,118,118,118,118,118,118,한식
TEST_01727,57,57,57,57,57,57,57,57,57,57,서양식
TEST_01728,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01729,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_01730,118,118,118,118,118,118,118,118,118,118,한식
TEST_01731,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01732,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01733,93,127,93,127,127,127,127,127,127,127,희귀동.식물
TEST_01734,25,25,25,25,25,25,25,25,25,25,도서관
TEST_01735,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01736,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01737,0,0,0,0,0,0,0,0,0,0,5일장
TEST_01738,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_01739,59,59,59,59,59,59,59,59,59,59,성
TEST_01740,118,118,118,118,118,118,118,118,118,118,한식
TEST_01741,118,118,118,118,118,118,118,118,118,118,한식
TEST_01742,118,118,118,118,118,118,118,118,118,118,한식
TEST_01743,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01744,118,118,118,118,118,118,118,118,118,118,한식
TEST_01745,118,118,118,118,118,118,118,118,118,118,한식
TEST_01746,38,69,69,85,85,85,85,85,85,85,ATV
TEST_01747,97,97,97,97,97,97,97,97,97,97,전시관
TEST_01748,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01749,115,115,115,115,115,115,115,115,115,115,펜션
TEST_01750,97,97,97,97,97,97,97,97,97,97,전시관
TEST_01751,0,0,0,0,0,0,0,0,0,0,5일장
TEST_01752,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01753,18,18,18,18,18,18,18,18,18,18,기타
TEST_01754,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01755,94,94,94,94,94,94,94,94,94,94,자연휴양림
TEST_01756,118,118,118,118,118,118,118,118,118,118,한식
TEST_01757,118,118,118,118,118,118,118,118,118,118,한식
TEST_01758,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01759,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_01760,118,118,118,118,118,118,118,118,118,118,한식
TEST_01761,118,118,118,118,118,118,118,118,118,118,한식
TEST_01762,118,118,118,118,118,118,118,118,118,118,한식
TEST_01763,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01764,118,118,118,118,118,118,118,118,118,118,한식
TEST_01765,53,53,53,53,53,53,53,53,53,53,산
TEST_01766,118,118,118,118,118,118,118,118,118,118,한식
TEST_01767,5,5,5,5,5,5,5,5,5,5,계곡
TEST_01768,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01769,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01770,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_01771,90,90,90,61,90,90,90,90,61,90,수목원
TEST_01772,57,57,57,57,118,57,57,57,57,57,서양식
TEST_01773,111,112,48,48,48,48,48,48,48,48,복합 레포츠
TEST_01774,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01775,44,86,44,44,44,44,44,44,44,44,박물관
TEST_01776,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01777,96,96,115,96,31,31,31,31,31,83,특산물판매점
TEST_01778,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01779,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_01780,15,15,15,15,15,15,15,15,15,15,기념관
TEST_01781,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01782,21,110,21,11,110,110,110,110,110,110,터널
TEST_01783,34,34,34,34,34,34,34,34,34,34,문화원
TEST_01784,82,82,82,82,82,82,82,82,82,82,유명건물
TEST_01785,118,118,118,118,118,118,118,118,118,118,한식
TEST_01786,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01787,118,118,118,118,118,118,118,118,118,118,한식
TEST_01788,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01789,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01790,118,118,118,118,118,118,118,118,118,118,한식
TEST_01791,8,8,8,8,8,8,8,8,8,8,골프
TEST_01792,84,84,84,84,84,84,84,84,84,84,유원지
TEST_01793,92,66,66,66,66,66,66,66,66,66,스케이트
TEST_01794,118,118,118,118,118,118,118,118,118,118,한식
TEST_01795,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01796,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_01797,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_01798,97,97,97,84,97,84,84,84,84,84,유원지
TEST_01799,118,118,118,118,118,118,118,118,118,118,한식
TEST_01800,90,90,90,105,105,105,105,105,105,105,컨벤션
TEST_01801,90,86,90,90,90,90,90,90,90,90,일반축제
TEST_01802,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01803,5,5,5,5,5,5,5,5,5,5,계곡
TEST_01804,124,124,124,124,124,124,124,124,124,124,헹글라이딩/패러글라이딩
TEST_01805,11,11,11,11,11,11,11,11,11,11,공원
TEST_01806,118,118,118,118,118,118,118,118,118,118,한식
TEST_01807,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01808,119,119,31,119,31,31,31,31,31,31,모텔
TEST_01809,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01810,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01811,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01812,118,118,118,118,118,118,118,118,118,118,한식
TEST_01813,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01814,118,118,118,118,118,118,118,118,118,118,한식
TEST_01815,92,92,92,92,92,92,92,92,92,92,자동차경주
TEST_01816,119,119,115,119,119,119,119,107,119,107,모텔
TEST_01817,16,16,16,16,16,16,16,16,16,16,기암괴석
TEST_01818,31,31,31,31,31,31,31,31,31,31,모텔
TEST_01819,5,53,5,5,5,53,5,5,5,5,계곡
TEST_01820,112,93,93,93,93,93,93,93,93,93,자연생태관광지
TEST_01821,20,20,20,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01822,43,106,106,106,106,106,106,106,106,106,컨벤션센터
TEST_01823,25,25,25,25,25,25,25,25,25,25,도서관
TEST_01824,25,25,25,25,25,25,25,25,25,25,도서관
TEST_01825,111,111,111,111,111,111,111,111,111,111,온천/욕장/스파
TEST_01826,118,118,118,118,118,118,118,118,118,118,한식
TEST_01827,118,118,118,118,118,118,118,118,118,118,한식
TEST_01828,118,118,118,118,118,118,118,118,118,118,한식
TEST_01829,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_01830,12,12,12,12,12,12,12,12,12,12,관광단지
TEST_01831,119,126,126,119,119,119,119,119,119,119,한옥스테이
TEST_01832,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01833,118,115,115,115,115,115,115,115,115,115,펜션
TEST_01834,118,118,118,118,118,118,118,118,118,118,한식
TEST_01835,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01836,94,94,94,94,94,94,94,94,94,94,자연휴양림
TEST_01837,120,120,120,120,120,120,120,120,120,120,항구/포구
TEST_01838,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01839,85,84,111,84,93,12,12,12,12,12,관광단지
TEST_01840,118,118,118,118,118,118,118,118,118,118,한식
TEST_01841,118,118,118,118,118,118,118,118,118,118,한식
TEST_01842,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01843,25,25,25,25,25,25,25,25,25,25,도서관
TEST_01844,118,118,118,118,118,118,118,118,118,118,한식
TEST_01845,59,59,59,59,59,59,59,59,59,59,성
TEST_01846,99,99,99,99,99,99,99,99,99,99,종교성지
TEST_01847,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01848,67,67,71,68,12,68,12,12,12,12,관광단지
TEST_01849,118,118,118,118,118,118,118,118,118,118,한식
TEST_01850,53,53,53,53,53,53,14,14,14,53,산
TEST_01851,100,100,100,100,100,100,100,100,100,100,중식
TEST_01852,0,0,0,0,0,0,0,0,0,0,5일장
TEST_01853,118,118,118,118,118,118,118,118,118,118,한식
TEST_01854,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01855,92,92,92,92,92,92,92,92,92,92,자동차경주
TEST_01856,118,118,118,118,118,118,118,118,118,118,한식
TEST_01857,118,118,118,118,118,118,118,118,118,118,한식
TEST_01858,118,118,118,118,118,118,118,118,118,118,한식
TEST_01859,85,112,85,85,85,85,112,112,85,112,유적지/사적지
TEST_01860,118,118,118,118,118,118,118,118,118,118,한식
TEST_01861,118,118,118,118,118,118,118,118,118,118,한식
TEST_01862,118,118,118,118,118,118,118,118,118,118,한식
TEST_01863,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01864,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01865,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_01866,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01867,114,114,114,114,114,114,114,114,114,114,패밀리레스토랑
TEST_01868,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01869,86,90,86,86,86,86,31,31,31,31,기타
TEST_01870,7,7,7,7,7,7,7,7,7,7,고택
TEST_01871,112,112,53,112,112,112,112,112,112,112,트래킹
TEST_01872,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01873,121,121,121,121,121,121,121,121,121,121,해수욕장
TEST_01874,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01875,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01876,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01877,118,118,118,118,118,118,118,118,118,118,한식
TEST_01878,61,61,61,61,61,61,61,61,61,61,수목원
TEST_01879,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01880,118,118,118,118,118,118,118,118,118,118,한식
TEST_01881,8,8,8,8,8,8,8,8,8,8,골프
TEST_01882,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01883,11,11,11,11,11,11,11,11,11,11,공원
TEST_01884,118,118,118,118,118,118,118,118,118,118,한식
TEST_01885,118,118,118,118,118,118,118,118,118,118,한식
TEST_01886,91,91,91,118,118,118,118,118,118,118,한식
TEST_01887,20,20,86,20,20,20,20,20,20,20,농.산.어촌 체험
TEST_01888,118,118,118,118,118,118,118,118,118,118,한식
TEST_01889,115,115,115,115,115,115,115,115,115,115,펜션
TEST_01890,111,34,90,9,19,18,18,18,18,18,일반축제
TEST_01891,118,118,118,118,118,118,118,118,118,118,한식
TEST_01892,120,120,120,120,120,120,120,120,120,120,항구/포구
TEST_01893,38,5,38,38,38,38,5,38,38,38,계곡
TEST_01894,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01895,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01896,118,118,118,118,118,118,118,118,118,118,한식
TEST_01897,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01898,16,16,16,16,16,16,16,16,16,16,기념탑/기념비/전망대
TEST_01899,111,93,111,111,111,111,111,111,111,111,테마공원
TEST_01900,97,97,97,37,97,97,97,97,97,97,전시관
TEST_01901,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01902,80,29,29,29,29,29,29,29,29,29,래프팅
TEST_01903,118,118,118,118,118,91,118,118,118,118,한식
TEST_01904,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01905,82,53,53,53,53,53,53,53,53,53,산
TEST_01906,118,118,118,118,118,118,118,118,118,118,한식
TEST_01907,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01908,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_01909,118,118,118,118,118,118,118,118,118,118,한식
TEST_01910,97,97,97,97,97,97,97,97,97,97,전시관
TEST_01911,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_01912,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01913,31,31,73,73,73,31,31,31,31,31,모텔
TEST_01914,58,58,58,58,58,58,58,58,58,58,섬
TEST_01915,5,5,5,5,5,5,5,5,5,5,계곡
TEST_01916,31,31,31,31,31,31,31,31,31,31,모텔
TEST_01917,58,17,17,17,17,17,17,17,17,17,기암괴석
TEST_01918,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01919,118,118,118,118,118,118,118,118,118,118,한식
TEST_01920,67,67,67,67,67,67,67,67,67,67,스키(보드) 렌탈샵
TEST_01921,118,118,118,118,118,118,118,118,118,118,한식
TEST_01922,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01923,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01924,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01925,10,10,10,10,10,10,10,10,10,10,"공예,공방"
TEST_01926,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01927,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01928,82,82,82,82,82,82,82,82,82,82,유명건물
TEST_01929,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01930,5,5,5,5,5,5,5,5,5,5,계곡
TEST_01931,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01932,118,118,118,118,118,118,118,118,118,118,한식
TEST_01933,118,118,118,118,118,118,118,118,118,118,한식
TEST_01934,7,7,55,7,7,7,119,7,7,7,고택
TEST_01935,73,73,73,73,73,73,115,115,115,73,"야영장,오토캠핑장"
TEST_01936,118,118,118,118,118,118,118,118,118,118,한식
TEST_01937,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01938,53,53,53,53,53,53,53,53,53,53,산
TEST_01939,100,100,100,100,100,100,100,100,100,100,중식
TEST_01940,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01941,60,60,60,60,60,60,60,60,60,60,수련시설
TEST_01942,52,52,52,52,52,52,52,52,52,52,사찰
TEST_01943,112,112,112,112,112,112,112,112,112,112,트래킹
TEST_01944,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01945,5,5,5,5,5,5,5,5,5,5,계곡
TEST_01946,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01947,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01948,118,118,118,118,118,118,118,118,118,118,한식
TEST_01949,11,11,11,11,11,11,11,11,11,11,공원
TEST_01950,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01951,118,118,118,118,118,118,118,118,118,118,한식
TEST_01952,20,20,86,112,112,112,112,86,86,86,농.산.어촌 체험
TEST_01953,31,31,31,31,31,31,31,31,31,31,모텔
TEST_01954,12,12,12,12,12,12,12,12,12,12,관광단지
TEST_01955,84,11,11,11,11,11,11,11,11,11,공원
TEST_01956,120,120,120,120,120,120,120,120,120,120,항구/포구
TEST_01957,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01958,84,3,84,84,84,82,84,84,84,84,유원지
TEST_01959,90,90,112,19,86,19,19,19,86,19,기타행사
TEST_01960,118,118,118,118,118,118,118,118,118,118,한식
TEST_01961,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_01962,118,118,118,118,118,118,118,118,118,118,한식
TEST_01963,85,85,85,85,85,85,85,85,85,85,유적지/사적지
TEST_01964,120,120,120,120,120,120,120,120,120,120,항구/포구
TEST_01965,7,7,7,85,85,7,7,7,7,7,고택
TEST_01966,26,26,26,26,26,26,26,26,26,26,동굴
TEST_01967,115,115,115,115,115,115,115,115,115,115,펜션
TEST_01968,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01969,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01970,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_01971,44,44,44,44,44,44,44,44,44,44,박물관
TEST_01972,8,8,8,8,8,8,8,8,8,8,골프
TEST_01973,118,118,118,118,118,118,118,118,118,118,한식
TEST_01974,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01975,112,112,112,112,112,112,112,112,112,112,트래킹
TEST_01976,90,90,90,90,90,90,90,90,90,90,일반축제
TEST_01977,3,3,3,3,3,3,3,3,3,3,강
TEST_01978,34,34,78,78,78,78,78,78,78,78,외국문화원
TEST_01979,58,58,58,58,58,58,58,58,58,58,섬
TEST_01980,118,118,118,118,118,118,118,118,118,118,한식
TEST_01981,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01982,0,0,0,0,0,0,0,0,0,0,5일장
TEST_01983,59,59,59,59,59,59,59,59,59,59,성
TEST_01984,77,77,77,77,77,77,77,77,77,77,온천/욕장/스파
TEST_01985,118,118,118,118,118,118,118,118,118,118,한식
TEST_01986,91,118,91,91,91,91,91,91,91,91,한식
TEST_01987,44,86,41,41,41,41,41,41,41,41,바/까페
TEST_01988,118,118,118,118,118,118,118,118,118,118,한식
TEST_01989,118,118,118,118,118,118,118,118,118,118,한식
TEST_01990,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01991,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01992,118,118,118,118,118,118,118,118,118,118,한식
TEST_01993,97,96,96,23,23,23,23,23,23,23,대형서점
TEST_01994,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_01995,118,118,118,118,118,118,118,118,118,118,한식
TEST_01996,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_01997,118,118,118,118,118,118,118,118,118,118,한식
TEST_01998,41,41,41,41,41,41,41,41,41,41,바/까페
TEST_01999,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_02000,119,119,119,119,119,119,119,119,119,119,한옥스테이
TEST_02001,0,54,54,0,0,0,0,0,0,0,5일장
TEST_02002,57,57,57,57,57,57,57,57,57,57,서양식
TEST_02003,86,86,86,86,86,86,86,86,86,86,이색거리
TEST_02004,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_02005,37,37,37,37,37,37,37,37,37,37,미술관/화랑
TEST_02006,86,20,86,86,86,86,86,86,86,86,이색거리
TEST_02007,118,118,118,118,118,118,118,118,118,118,한식
TEST_02008,54,54,54,54,54,54,54,54,54,54,상설시장
TEST_02009,119,126,86,86,86,86,86,86,86,86,바/까페
TEST_02010,116,116,116,116,116,116,116,116,116,116,폭포
TEST_02011,118,118,118,118,118,118,118,118,118,118,한식
TEST_02012,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_02013,31,4,4,31,31,4,31,31,31,31,게스트하우스
TEST_02014,100,100,100,100,100,100,100,100,100,100,중식
TEST_02015,96,96,96,96,96,96,96,96,96,96,전문상가
TEST_02016,58,20,86,20,20,115,20,20,20,20,농.산.어촌 체험
TEST_02017,91,91,91,91,91,91,91,91,91,91,일식
TEST_02018,118,118,118,118,118,118,118,118,118,118,한식
TEST_02019,118,118,118,118,118,118,118,118,118,118,한식
TEST_02020,31,31,31,31,31,31,31,31,31,31,모텔
TEST_02021,119,40,40,126,126,119,119,119,119,119,한옥스테이
TEST_02022,11,11,53,11,53,53,93,11,11,11,공원
TEST_02023,52,52,52,52,52,52,52,52,52,52,사찰
TEST_02024,82,82,82,82,82,82,82,82,82,82,유명건물
TEST_02025,31,31,115,31,4,4,4,4,4,4,게스트하우스
TEST_02026,97,44,44,17,111,44,44,111,44,111,박물관
TEST_02027,12,12,115,12,107,107,107,107,107,107,콘도미니엄
TEST_02028,52,52,52,52,52,52,52,52,52,52,사찰
TEST_02029,73,73,73,73,73,73,73,73,73,73,"야영장,오토캠핑장"
TEST_02030,25,25,25,25,25,25,25,25,25,25,도서관
TEST_02031,4,4,4,4,4,4,4,4,4,4,게스트하우스
TEST_02032,118,118,118,118,118,118,118,118,118,118,한식
