,nomal,focal
1924,바/까페,바/까페
1925,"공예,공방","공예,공방"
1926,"야영장,오토캠핑장","야영장,오토캠핑장"
1927,"야영장,오토캠핑장","야영장,오토캠핑장"
1928,유명건물,유명건물
1929,바/까페,바/까페
1930,계곡,계곡
1931,"야영장,오토캠핑장","야영장,오토캠핑장"
1932,한식,한식
1933,한식,한식
1934,생가,고택
1935,"야영장,오토캠핑장",펜션
1936,한식,한식
1937,고택,유적지/사적지
1938,산,산
1939,중식,중식
1940,상설시장,상설시장
1941,수련시설,수련시설
1942,사찰,사찰
1943,트래킹,트래킹
1944,일반축제,일반축제
1945,계곡,계곡
1946,"야영장,오토캠핑장","야영장,오토캠핑장"
1947,바/까페,바/까페
1948,한식,한식
1949,공원,공원
1950,상설시장,상설시장
1951,한식,한식
1952,농.산.어촌 체험,이색거리
1953,모텔,모텔
1954,관광단지,관광단지
1955,공원,공원
1956,항구/포구,항구/포구
1957,"야영장,오토캠핑장","야영장,오토캠핑장"
1958,유원지,유원지
1959,일반축제,일반축제
1960,한식,한식
1961,상설시장,상설시장
1962,한식,한식
1963,유적지/사적지,유적지/사적지
1964,항구/포구,항구/포구
1965,고택,고택
1966,동굴,동굴
1967,펜션,펜션
1968,바/까페,바/까페
1969,박물관,박물관
1970,이색거리,이색거리
1971,박물관,박물관
1972,골프,골프
1973,한식,한식
1974,"야영장,오토캠핑장","야영장,오토캠핑장"
1975,트래킹,트래킹
1976,일반축제,일반축제
1977,자연생태관광지,자연생태관광지
1978,기념관,문화원
1979,섬,섬
1980,한식,한식
1981,한옥스테이,한옥스테이
1982,5일장,5일장
1983,성,성
1984,온천/욕장/스파,온천/욕장/스파
1985,한식,한식
1986,한식,한식
1987,바/까페,바/까페
1988,한식,한식
1989,한식,한식
1990,한옥스테이,한옥스테이
1991,한옥스테이,한옥스테이
1992,한식,한식
1993,대형서점,대형서점
1994,"야영장,오토캠핑장","야영장,오토캠핑장"
1995,한식,한식
1996,한옥스테이,한옥스테이
1997,한식,한식
1998,바/까페,바/까페
1999,한옥스테이,한옥스테이
2000,한옥스테이,한옥스테이
2001,5일장,5일장
2002,서양식,서양식
2003,민속마을,민속마을
2004,"야영장,오토캠핑장","야영장,오토캠핑장"
2005,미술관/화랑,미술관/화랑
2006,이색거리,이색거리
2007,한식,한식
2008,상설시장,상설시장
2009,이색거리,이색거리
2010,폭포,폭포
2011,한식,한식
2012,"야영장,오토캠핑장","야영장,오토캠핑장"
2013,게스트하우스,게스트하우스
2014,중식,중식
2015,전문상가,전문상가
2016,섬,섬
2017,일식,일식
2018,한식,한식
2019,한식,한식
2020,모텔,모텔
2021,홈스테이,한옥스테이
2022,산,산
2023,사찰,사찰
2024,유명건물,유명건물
2025,게스트하우스,게스트하우스
2026,기암괴석,기암괴석
2027,관광단지,콘도미니엄
2028,사찰,사찰
2029,"야영장,오토캠핑장","야영장,오토캠핑장"
2030,도서관,도서관
2031,게스트하우스,게스트하우스
2032,한식,한식
2033,사찰,사찰
2034,유적지/사적지,유적지/사적지
2035,트래킹,트래킹
2036,바다낚시,바다낚시
2037,사찰,사찰
2038,유적지/사적지,유적지/사적지
2039,농.산.어촌 체험,농.산.어촌 체험
2040,"야영장,오토캠핑장","야영장,오토캠핑장"
2041,공원,공원
2042,민물낚시,"야영장,오토캠핑장"
2043,유적지/사적지,유적지/사적지
2044,테마공원,일반축제
2045,이색거리,이색거리
2046,펜션,펜션
2047,전시관,전시관
2048,수련시설,수련시설
2049,한식,한식
2050,"공예,공방","공예,공방"
2051,서양식,서양식
2052,"야영장,오토캠핑장","야영장,오토캠핑장"
2053,테마공원,테마공원
2054,한식,한식
2055,"야영장,오토캠핑장","야영장,오토캠핑장"
2056,트래킹,트래킹
2057,자연생태관광지,자연생태관광지
2058,박물관,박물관
2059,바/까페,바/까페
2060,한식,한식
2061,해수욕장,해수욕장
2062,"야영장,오토캠핑장","야영장,오토캠핑장"
2063,"야영장,오토캠핑장","야영장,오토캠핑장"
2064,사찰,사찰
2065,수목원,수목원
2066,기타행사,기타행사
2067,기념탑/기념비/전망대,기념탑/기념비/전망대
2068,중식,중식
2069,"야영장,오토캠핑장","야영장,오토캠핑장"
2070,바/까페,바/까페
2071,"야영장,오토캠핑장","야영장,오토캠핑장"
2072,사찰,사찰
2073,"야영장,오토캠핑장","야영장,오토캠핑장"
2074,유적지/사적지,유적지/사적지
2075,서양식,서양식
2076,한식,한식
2077,스케이트,스케이트
2078,모텔,모텔
2079,한식,한식
2080,해수욕장,해수욕장
2081,한식,한식
2082,사찰,사찰
2083,이색거리,이색거리
2084,해수욕장,해수욕장
2085,기타,기타
2086,농.산.어촌 체험,농.산.어촌 체험
2087,테마공원,테마공원
2088,"야영장,오토캠핑장","야영장,오토캠핑장"
2089,"야영장,오토캠핑장","야영장,오토캠핑장"
2090,한식,한식
2091,박물관,박물관
2092,트래킹,트래킹
2093,상설시장,상설시장
2094,중식,중식
2095,한식,한식
2096,한식,한식
2097,종교성지,종교성지
2098,전문상가,전문상가
2099,미술관/화랑,미술관/화랑
2100,전시관,전시관
2101,한식,이색거리
2102,일식,일식
2103,한식,한식
2104,유명건물,유명건물
2105,한식,한식
2106,유적지/사적지,유적지/사적지
2107,5일장,5일장
2108,섬,섬
2109,한식,한식
2110,한식,한식
2111,전시관,박람회
2112,한옥스테이,한옥스테이
2113,민속마을,민속마을
2114,바/까페,바/까페
2115,"야영장,오토캠핑장","야영장,오토캠핑장"
2116,한식,한식
2117,관광단지,이색거리
2118,한식,한식
2119,중식,한식
2120,기념탑/기념비/전망대,기념탑/기념비/전망대
2121,유적지/사적지,유적지/사적지
2122,전시관,전시관
2123,한식,한식
2124,다리/대교,다리/대교
2125,이색거리,이색거리
2126,유적지/사적지,유적지/사적지
2127,한옥스테이,한옥스테이
2128,유원지,유원지
2129,바/까페,바/까페
2130,농.산.어촌 체험,농.산.어촌 체험
2131,한식,한식
2132,산,산
2133,자연휴양림,자연휴양림
2134,한식,한식
2135,일반축제,일반축제
2136,한식,한식
2137,바/까페,바/까페
2138,산,산
2139,이색거리,관광단지
2140,한식,한식
2141,일반축제,일반축제
2142,사찰,사찰
2143,펜션,펜션
2144,해수욕장,해수욕장
2145,일반축제,일반축제
2146,한식,한식
2147,공원,공원
2148,전시관,공연장
2149,농.산.어촌 체험,농.산.어촌 체험
2150,유적지/사적지,기념탑/기념비/전망대
2151,한식,한식
2152,트래킹,트래킹
2153,한식,한식
2154,스키(보드) 렌탈샵,스키(보드) 렌탈샵
2155,펜션,펜션
2156,한식,한식
2157,바/까페,바/까페
2158,박물관,박물관
2159,서양식,서양식
2160,한식,한식
2161,유적지/사적지,유적지/사적지
2162,모텔,모텔
2163,모텔,모텔
2164,모텔,모텔
2165,이색거리,이색거리
2166,"야영장,오토캠핑장","야영장,오토캠핑장"
2167,문,문
2168,민속마을,민속마을
2169,문,문
2170,일반축제,일반축제
2171,바다낚시,바다낚시
2172,한식,한식
2173,한식,한식
2174,자연생태관광지,자연생태관광지
2175,바/까페,클럽
2176,골프,골프
2177,유원지,공원
2178,한식,한식
2179,한식,한식
2180,한식,한식
2181,바/까페,바/까페
2182,바/까페,바/까페
2183,상설시장,상설시장
2184,유적지/사적지,유적지/사적지
2185,동상,동상
2186,"야영장,오토캠핑장","야영장,오토캠핑장"
2187,유적지/사적지,유적지/사적지
2188,상설시장,상설시장
2189,이색거리,이색거리
2190,사찰,자연생태관광지
2191,자연생태관광지,자연생태관광지
2192,고택,한옥스테이
2193,이색거리,이색거리
2194,스키(보드) 렌탈샵,스키(보드) 렌탈샵
2195,문화원,문화원
2196,서양식,서양식
2197,일반축제,기타행사
2198,일반축제,일반축제
2199,기타,펜션
2200,한식,한식
2201,이색거리,이색거리
2202,한식,한식
2203,성,성
2204,테마공원,테마공원
2205,한식,한식
2206,문화원,문화원
2207,"야영장,오토캠핑장","야영장,오토캠핑장"
2208,박물관,박물관
2209,농.산.어촌 체험,농.산.어촌 체험
2210,바/까페,바/까페
2211,성,유적지/사적지
2212,트래킹,트래킹
2213,일식,일식
2214,전시관,전시관
2215,한식,한식
2216,사찰,사찰
2217,모텔,모텔
2218,바/까페,바/까페
2219,서양식,서양식
2220,한식,한식
2221,"야영장,오토캠핑장","야영장,오토캠핑장"
2222,한식,한식
2223,전시관,공연장
2224,한식,한식
2225,5일장,상설시장
2226,유원지,유원지
2227,테마공원,테마공원
2228,"야영장,오토캠핑장","야영장,오토캠핑장"
2229,한식,한식
2230,상설시장,상설시장
2231,일식,일식
2232,유명건물,유명건물
2233,사찰,사찰
2234,한식,한식
2235,바/까페,바/까페
2236,다리/대교,터널
2237,중식,중식
2238,박물관,박물관
2239,기타행사,기타행사
2240,전문상가,전문상가
2241,기타행사,기타행사
2242,이색거리,이색거리
2243,관광단지,스키/스노보드
2244,바/까페,바/까페
2245,유명건물,유명건물
2246,기암괴석,기암괴석
2247,문화원,문화원
2248,유적지/사적지,유적지/사적지
2249,공원,공원
2250,계곡,계곡
2251,"야영장,오토캠핑장","야영장,오토캠핑장"
2252,섬,섬
2253,한옥스테이,한옥스테이
2254,홈스테이,홈스테이
2255,유명건물,유명건물
2256,한식,한식
2257,유원지,유원지
2258,일식,일식
2259,산,산
2260,일식,한식
2261,사찰,사찰
2262,성,성
2263,홈스테이,한옥스테이
2264,박물관,박물관
2265,자연휴양림,자연휴양림
2266,도서관,도서관
2267,한식,특산물판매점
2268,한식,한식
2269,계곡,계곡
2270,한식,한식
2271,유적지/사적지,유적지/사적지
2272,산,산
2273,한식,한식
2274,골프,골프
2275,강,강
2276,산,산
2277,산,산
2278,생가,고택
2279,기념탑/기념비/전망대,기념탑/기념비/전망대
2280,5일장,5일장
2281,한식,한식
2282,항구/포구,항구/포구
2283,전시관,전시관
2284,한식,한식
2285,한옥스테이,한옥스테이
2286,기타행사,일반축제
2287,한식,한식
2288,산,산
2289,한식,한식
2290,바/까페,바/까페
2291,"야영장,오토캠핑장","야영장,오토캠핑장"
2292,안보관광,안보관광
2293,트래킹,트래킹
2294,유적지/사적지,유적지/사적지
2295,이색거리,항구/포구
2296,이색거리,이색거리
2297,한옥스테이,한옥스테이
2298,바/까페,바/까페
2299,자연휴양림,자연휴양림
2300,한옥스테이,한옥스테이
2301,"야영장,오토캠핑장","야영장,오토캠핑장"
2302,한옥스테이,한옥스테이
2303,관광단지,관광단지
2304,한옥스테이,한옥스테이
2305,한식,한식
2306,성,성
2307,사찰,사찰
2308,테마공원,테마공원
2309,농.산.어촌 체험,농.산.어촌 체험
2310,분수,분수
2311,산,산
2312,수목원,자연생태관광지
2313,사찰,사찰
2314,유적지/사적지,유적지/사적지
2315,박물관,박물관
2316,한식,한식
2317,바다낚시,바다낚시
2318,골프,관광단지
2319,한식,한식
2320,기타,기타
2321,"야영장,오토캠핑장","야영장,오토캠핑장"
2322,"야영장,오토캠핑장",수영
2323,기념탑/기념비/전망대,기념탑/기념비/전망대
2324,해수욕장,해수욕장
2325,유적지/사적지,유적지/사적지
2326,미술관/화랑,미술관/화랑
2327,바/까페,바/까페
2328,한식,한식
2329,바/까페,바/까페
2330,한식,한식
2331,한식,한식
2332,"야영장,오토캠핑장","야영장,오토캠핑장"
2333,서양식,서양식
2334,사찰,사찰
2335,한식,한식
2336,일반축제,일반축제
2337,기념탑/기념비/전망대,사찰
2338,"야영장,오토캠핑장","야영장,오토캠핑장"
2339,한식,한식
2340,전시관,이색거리
2341,자연휴양림,자연휴양림
2342,일식,한식
2343,기념탑/기념비/전망대,기념탑/기념비/전망대
2344,"야영장,오토캠핑장","야영장,오토캠핑장"
2345,중식,중식
2346,"야영장,오토캠핑장","야영장,오토캠핑장"
2347,유적지/사적지,유적지/사적지
2348,펜션,펜션
2349,한식,한식
2350,한식,한식
2351,요트,스노쿨링/스킨스쿠버다이빙
2352,골프,골프
2353,유적지/사적지,유적지/사적지
2354,"야영장,오토캠핑장","야영장,오토캠핑장"
2355,전문상가,전문상가
2356,"야영장,오토캠핑장","야영장,오토캠핑장"
2357,"야영장,오토캠핑장","야영장,오토캠핑장"
2358,일반축제,일반축제
2359,박물관,박물관
2360,유적지/사적지,유적지/사적지
2361,자연휴양림,자연휴양림
2362,민물낚시,민물낚시
2363,수련시설,수련시설
2364,한식,한식
2365,한식,한식
2366,한옥스테이,한옥스테이
2367,한식,한식
2368,유적지/사적지,유적지/사적지
2369,한식,한식
2370,이색거리,이색거리
2371,한식,채식전문점
2372,일반축제,일반축제
2373,문화원,문화원
2374,해수욕장,해수욕장
2375,해수욕장,해수욕장
2376,종교성지,종교성지
2377,"야영장,오토캠핑장","야영장,오토캠핑장"
2378,유적지/사적지,전시관
2379,"야영장,오토캠핑장","야영장,오토캠핑장"
2380,농.산.어촌 체험,농.산.어촌 체험
2381,펜션,펜션
2382,바/까페,바/까페
2383,바/까페,바/까페
2384,항구/포구,항구/포구
2385,유람선/잠수함관광,등대
2386,골프,골프
2387,한식,한식
2388,"야영장,오토캠핑장","야영장,오토캠핑장"
2389,바/까페,바/까페
2390,한식,한식
2391,"야영장,오토캠핑장","야영장,오토캠핑장"
2392,한식,한식
2393,바/까페,바/까페
2394,해안절경,해안절경
2395,유적지/사적지,유적지/사적지
2396,한식,한식
2397,유적지/사적지,유적지/사적지
2398,한식,한식
2399,이색거리,이색거리
2400,고궁,유적지/사적지
2401,한식,한식
2402,한식,한식
2403,자연생태관광지,자연생태관광지
2404,한옥스테이,모텔
2405,항구/포구,항구/포구
2406,전시관,전시관
2407,유적지/사적지,유적지/사적지
2408,한식,한식
2409,유적지/사적지,유적지/사적지
2410,"야영장,오토캠핑장","야영장,오토캠핑장"
2411,바/까페,바/까페
2412,바/까페,바/까페
2413,관광단지,관광단지
2414,"야영장,오토캠핑장","야영장,오토캠핑장"
2415,유적지/사적지,유적지/사적지
2416,한식,한식
2417,한식,한식
2418,바다낚시,바다낚시
2419,전문상가,전문상가
2420,전시관,전시관
2421,한식,한식
2422,상설시장,상설시장
2423,"야영장,오토캠핑장","야영장,오토캠핑장"
2424,미술관/화랑,미술관/화랑
2425,약수터,약수터
2426,상설시장,상설시장
2427,한식,한식
2428,일반축제,기타행사
2429,농.산.어촌 체험,농.산.어촌 체험
2430,일반축제,일반축제
2431,전문상가,전문상가
2432,"공예,공방","공예,공방"
2433,박물관,박물관
2434,한식,한식
2435,박물관,박물관
2436,공연장,공연장
2437,공연장,공연장
2438,이색거리,이색거리
2439,트래킹,트래킹
2440,서양식,서양식
2441,5일장,5일장
2442,식음료,클럽
2443,서양식,서양식
2444,한식,한식
2445,항구/포구,항구/포구
2446,항구/포구,항구/포구
2447,자연생태관광지,자연생태관광지
2448,한식,한식
2449,자연생태관광지,항구/포구
2450,유적지/사적지,유적지/사적지
2451,농.산.어촌 체험,농.산.어촌 체험
2452,골프,골프
2453,일식,일식
2454,서양식,서양식
2455,관광단지,콘도미니엄
2456,문화원,문화원
2457,한식,한식
2458,이색거리,이색거리
2459,유원지,유원지
2460,트래킹,트래킹
2461,도서관,도서관
2462,박물관,박물관
2463,성,성
2464,게스트하우스,게스트하우스
2465,이색거리,이색거리
2466,바/까페,바/까페
2467,기념관,기념관
2468,바/까페,바/까페
2469,고궁,고궁
2470,공연장,공연장
2471,한식,한식
2472,요트,스노쿨링/스킨스쿠버다이빙
2473,한식,한식
2474,서양식,서양식
2475,한식,한식
2476,"야영장,오토캠핑장","야영장,오토캠핑장"
2477,모텔,모텔
2478,한식,한식
2479,한식,한식
2480,이색거리,이색거리
2481,한옥스테이,한옥스테이
2482,도서관,도서관
2483,"야영장,오토캠핑장","야영장,오토캠핑장"
2484,홈스테이,홈스테이
2485,유적지/사적지,유원지
2486,한식,한식
2487,도서관,도서관
2488,농.산.어촌 체험,농.산.어촌 체험
2489,5일장,5일장
2490,"야영장,오토캠핑장","야영장,오토캠핑장"
2491,미술관/화랑,미술관/화랑
2492,유명건물,유명건물
2493,공연장,공연장
2494,모텔,모텔
2495,바/까페,바/까페
2496,농.산.어촌 체험,농.산.어촌 체험
2497,한식,한식
2498,"야영장,오토캠핑장","야영장,오토캠핑장"
2499,한옥스테이,한옥스테이
2500,사찰,사찰
2501,한옥스테이,한옥스테이
2502,산,산
2503,한식,한식
2504,상설시장,상설시장
2505,한식,한식
2506,한옥스테이,한옥스테이
2507,이색거리,이색거리
2508,모텔,모텔
2509,바/까페,바/까페
2510,사찰,사찰
2511,한옥스테이,한옥스테이
2512,바/까페,바/까페
2513,박물관,박물관
2514,"야영장,오토캠핑장","야영장,오토캠핑장"
2515,중식,중식
2516,한식,한식
2517,홈스테이,홈스테이
2518,한옥스테이,한옥스테이
2519,"야영장,오토캠핑장","야영장,오토캠핑장"
2520,한식,이색거리
2521,펜션,펜션
2522,사찰,사찰
2523,한식,한식
2524,한식,한식
2525,산,산
2526,"야영장,오토캠핑장","야영장,오토캠핑장"
2527,펜션,펜션
2528,트래킹,트래킹
2529,복합 레포츠,자전거하이킹
2530,모텔,모텔
2531,채식전문점,채식전문점
2532,유적지/사적지,유적지/사적지
2533,한옥스테이,한옥스테이
2534,자연생태관광지,자연생태관광지
2535,한식,한식
2536,한식,한식
2537,한식,한식
2538,모텔,모텔
2539,한식,한식
2540,펜션,펜션
2541,홈스테이,게스트하우스
2542,항구/포구,항구/포구
2543,성,성
2544,농.산.어촌 체험,농.산.어촌 체험
2545,기념관,기념관
2546,중식,중식
2547,유적지/사적지,유적지/사적지
2548,모텔,모텔
2549,유원지,유원지
2550,한옥스테이,한옥스테이
2551,골프,골프
2552,바/까페,바/까페
2553,일반축제,일반축제
2554,고궁,고궁
2555,자연휴양림,자연휴양림
2556,유명건물,유명건물
2557,전시관,전시관
2558,"야영장,오토캠핑장","야영장,오토캠핑장"
2559,"야영장,오토캠핑장","야영장,오토캠핑장"
2560,콘도미니엄,콘도미니엄
2561,바/까페,바/까페
2562,중식,중식
2563,기타,이색거리
2564,기념탑/기념비/전망대,기념탑/기념비/전망대
2565,기타행사,썰매장
2566,래프팅,래프팅
2567,고궁,고궁
2568,한식,한식
2569,"야영장,오토캠핑장","야영장,오토캠핑장"
2570,채식전문점,채식전문점
2571,"야영장,오토캠핑장","야영장,오토캠핑장"
2572,이색거리,민속마을
2573,일반축제,일반축제
2574,한식,한식
2575,전시관,기타행사
2576,"야영장,오토캠핑장","야영장,오토캠핑장"
2577,생가,생가
2578,중식,중식
2579,"야영장,오토캠핑장","야영장,오토캠핑장"
2580,강,강
2581,한식,한식
2582,민속마을,민속마을
2583,자연휴양림,이색거리
2584,한식,한식
2585,미술관/화랑,미술관/화랑
2586,"야영장,오토캠핑장","야영장,오토캠핑장"
2587,바/까페,바/까페
2588,"야영장,오토캠핑장","야영장,오토캠핑장"
2589,"야영장,오토캠핑장","야영장,오토캠핑장"
2590,이색거리,이색거리
2591,사찰,사찰
2592,농.산.어촌 체험,농.산.어촌 체험
2593,기념탑/기념비/전망대,기념탑/기념비/전망대
2594,자연생태관광지,자연생태관광지
2595,"야영장,오토캠핑장","야영장,오토캠핑장"
2596,문,문
2597,이색거리,이색거리
2598,한식,한식
2599,한식,한식
2600,"야영장,오토캠핑장","야영장,오토캠핑장"
2601,"야영장,오토캠핑장","야영장,오토캠핑장"
2602,농.산.어촌 체험,농.산.어촌 체험
2603,고택,고택
2604,관광단지,항구/포구
2605,농.산.어촌 체험,농.산.어촌 체험
2606,사찰,사찰
2607,모텔,한옥스테이
2608,한식,한식
2609,유적지/사적지,유적지/사적지
2610,한옥스테이,한옥스테이
2611,바/까페,바/까페
2612,"야영장,오토캠핑장","야영장,오토캠핑장"
2613,바/까페,바/까페
2614,서양식,서양식
2615,"야영장,오토캠핑장","야영장,오토캠핑장"
2616,일반축제,일반축제
2617,수련시설,전시관
2618,"야영장,오토캠핑장","야영장,오토캠핑장"
2619,게스트하우스,게스트하우스
2620,바/까페,바/까페
2621,한식,한식
2622,이색거리,이색거리
2623,래프팅,래프팅
2624,한식,한식
2625,테마공원,자연휴양림
2626,농.산.어촌 체험,이색거리
2627,수목원,수목원
2628,일반축제,일반축제
2629,한식,한식
2630,"야영장,오토캠핑장","야영장,오토캠핑장"
2631,특산물판매점,특산물판매점
2632,이색거리,이색거리
2633,한식,한식
2634,한식,한식
2635,게스트하우스,게스트하우스
2636,전시관,미술관/화랑
2637,일반축제,일반축제
2638,미술관/화랑,미술관/화랑
2639,한옥스테이,모텔
2640,스키(보드) 렌탈샵,스키(보드) 렌탈샵
2641,썰매장,테마공원
2642,한식,한식
2643,"야영장,오토캠핑장",전문상가
2644,전문상가,전문상가
2645,한식,한식
2646,산,산
2647,골프,골프
2648,자연생태관광지,자연생태관광지
2649,"야영장,오토캠핑장","야영장,오토캠핑장"
2650,고택,고택
2651,민물낚시,민물낚시
2652,일반축제,일반축제
2653,한식,한식
2654,한식,한식
2655,공연장,공연장
2656,기암괴석,기암괴석
2657,골프,골프
2658,한식,한식
2659,한식,한식
2660,동굴,동굴
2661,상설시장,상설시장
2662,서양식,서양식
2663,유적지/사적지,유적지/사적지
2664,한식,한식
2665,한식,한식
2666,폭포,폭포
2667,공원,공원
2668,자연휴양림,자연휴양림
2669,박물관,박물관
2670,관광단지,관광단지
2671,바/까페,바/까페
2672,한식,한식
2673,중식,중식
2674,"야영장,오토캠핑장","야영장,오토캠핑장"
2675,고택,유적지/사적지
2676,유적지/사적지,유적지/사적지
2677,한옥스테이,모텔
2678,전시관,전시관
2679,바/까페,바/까페
2680,미술관/화랑,미술관/화랑
2681,트래킹,트래킹
2682,"야영장,오토캠핑장","야영장,오토캠핑장"
2683,한옥스테이,한옥스테이
2684,일반축제,일반축제
2685,강,강
2686,문화전수시설,문화전수시설
2687,유원지,유원지
2688,관광단지,관광단지
2689,미술관/화랑,미술관/화랑
2690,관광단지,관광단지
2691,공원,공원
2692,섬,섬
2693,"야영장,오토캠핑장","야영장,오토캠핑장"
2694,한식,한식
2695,"야영장,오토캠핑장","야영장,오토캠핑장"
2696,모텔,모텔
2697,수련시설,수련시설
2698,한식,한식
2699,유적지/사적지,유적지/사적지
2700,한식,한식
2701,항구/포구,항구/포구
2702,한식,한식
2703,공연장,전시관
2704,서양식,서양식
2705,공연장,공연장
2706,펜션,펜션
2707,한식,한식
2708,헬스투어,헬스투어
2709,강,강
2710,희귀동.식물,희귀동.식물
2711,관광단지,관광단지
2712,"야영장,오토캠핑장","야영장,오토캠핑장"
2713,사찰,사찰
2714,관광단지,관광단지
2715,강,강
2716,한식,한식
2717,한식,한식
2718,한식,한식
2719,해수욕장,해수욕장
2720,모텔,모텔
2721,바/까페,바/까페
2722,자연생태관광지,공원
2723,바다낚시,바다낚시
2724,전문상가,전문상가
2725,한옥스테이,한옥스테이
2726,5일장,5일장
2727,한식,한식
2728,이색거리,전시관
2729,"야영장,오토캠핑장","야영장,오토캠핑장"
2730,미술관/화랑,미술관/화랑
2731,윈드서핑/제트스키,복합 레포츠
2732,유원지,유원지
2733,유원지,유원지
2734,한옥스테이,한옥스테이
2735,박물관,박물관
2736,계곡,계곡
2737,문화원,문화원
2738,전시관,미술관/화랑
2739,민속마을,박물관
2740,한식,한식
2741,한식,한식
2742,중식,중식
2743,농.산.어촌 체험,농.산.어촌 체험
2744,"야영장,오토캠핑장","야영장,오토캠핑장"
2745,고택,고택
2746,한식,한식
2747,상설시장,상설시장
2748,"야영장,오토캠핑장","야영장,오토캠핑장"
2749,5일장,5일장
2750,"야영장,오토캠핑장","야영장,오토캠핑장"
2751,기암괴석,기암괴석
2752,박물관,박물관
2753,항구/포구,항구/포구
2754,박물관,박물관
2755,한식,한식
2756,유적지/사적지,유적지/사적지
2757,희귀동.식물,희귀동.식물
2758,한옥스테이,한옥스테이
2759,유원지,유원지
2760,트래킹,트래킹
2761,한식,한식
2762,종교성지,종교성지
2763,한식,한식
2764,복합 레포츠,트래킹
2765,공연장,공연장
2766,한식,한식
2767,"야영장,오토캠핑장","야영장,오토캠핑장"
2768,한옥스테이,한옥스테이
2769,한식,한식
2770,유적지/사적지,유적지/사적지
2771,바/까페,바/까페
2772,관광단지,관광단지
2773,농.산.어촌 체험,농.산.어촌 체험
2774,농.산.어촌 체험,농.산.어촌 체험
2775,모텔,모텔
2776,한식,한식
2777,홈스테이,사찰
2778,한옥스테이,한옥스테이
2779,"야영장,오토캠핑장","야영장,오토캠핑장"
2780,상설시장,상설시장
2781,한식,한식
2782,"야영장,오토캠핑장","야영장,오토캠핑장"
2783,사찰,사찰
2784,전시관,전시관
2785,골프,골프
2786,한식,한식
2787,유적지/사적지,유적지/사적지
2788,박물관,박물관
2789,"야영장,오토캠핑장","야영장,오토캠핑장"
2790,전문상가,전문상가
2791,자연생태관광지,자연생태관광지
2792,바/까페,바/까페
2793,기타행사,기타행사
2794,"야영장,오토캠핑장","야영장,오토캠핑장"
2795,서양식,서양식
2796,모텔,모텔
2797,한식,한식
2798,"야영장,오토캠핑장","야영장,오토캠핑장"
2799,박물관,박물관
2800,5일장,5일장
2801,"야영장,오토캠핑장","야영장,오토캠핑장"
2802,"야영장,오토캠핑장","야영장,오토캠핑장"
2803,전시관,전시관
2804,산,산
2805,"야영장,오토캠핑장","야영장,오토캠핑장"
2806,중식,중식
2807,한식,한식
2808,바/까페,바/까페
2809,한식,한식
2810,일반축제,일반축제
2811,한식,한식
2812,바/까페,바/까페
2813,박물관,박물관
2814,박물관,박물관
2815,한식,한식
2816,일반축제,테마공원
2817,5일장,5일장
2818,"야영장,오토캠핑장","야영장,오토캠핑장"
2819,박물관,박물관
2820,민물낚시,민물낚시
2821,테마공원,이색거리
2822,"공예,공방","공예,공방"
2823,등대,등대
2824,이색거리,이색거리
2825,사찰,사찰
2826,박물관,박물관
2827,모텔,모텔
2828,사찰,사찰
2829,자연휴양림,자연휴양림
2830,한식,한식
2831,고궁,유적지/사적지
2832,"야영장,오토캠핑장","야영장,오토캠핑장"
2833,일반축제,일반축제
2834,서양식,서양식
2835,유적지/사적지,유적지/사적지
2836,패밀리레스토랑,패밀리레스토랑
2837,모텔,모텔
2838,한옥스테이,한옥스테이
2839,바/까페,바/까페
2840,모텔,펜션
2841,게스트하우스,게스트하우스
2842,한식,한식
2843,한식,한식
2844,한식,한식
2845,한식,한식
2846,한식,한식
2847,바다낚시,바다낚시
2848,한식,한식
2849,일반축제,일반축제
2850,다리/대교,다리/대교
2851,상설시장,상설시장
2852,이색거리,이색거리
2853,한식,한식
2854,일반축제,일반축제
2855,한옥스테이,서양식
2856,한식,한식
2857,박물관,박물관
2858,공원,공원
2859,"야영장,오토캠핑장","야영장,오토캠핑장"
2860,서양식,서양식
2861,한식,한식
2862,펜션,펜션
2863,바/까페,바/까페
2864,유적지/사적지,유적지/사적지
2865,바/까페,바/까페
2866,강,계곡
2867,일반축제,일반축제
2868,이색거리,이색거리
2869,바/까페,바/까페
2870,전문상가,전문상가
2871,한식,한식
2872,한식,한식
2873,한식,한식
2874,미술관/화랑,미술관/화랑
2875,유원지,유원지
2876,유람선/잠수함관광,유람선/잠수함관광
2877,해안절경,유명건물
2878,전시관,전시관
2879,한식,한식
2880,바다낚시,바다낚시
2881,종교성지,종교성지
2882,문화원,미술관/화랑
2883,한옥스테이,한옥스테이
2884,일반축제,일반축제
2885,"야영장,오토캠핑장","야영장,오토캠핑장"
2886,유적지/사적지,유적지/사적지
2887,이색거리,이색거리
2888,농.산.어촌 체험,농.산.어촌 체험
2889,전시관,수련시설
2890,상설시장,상설시장
2891,산,트래킹
2892,펜션,펜션
2893,이색거리,이색거리
2894,유원지,유원지
2895,펜션,펜션
2896,항구/포구,항구/포구
2897,미술관/화랑,미술관/화랑
2898,유적지/사적지,유적지/사적지
2899,공원,공원
2900,일반축제,일반축제
2901,유적지/사적지,유적지/사적지
2902,농.산.어촌 체험,농.산.어촌 체험
